title,description,cyber,innovation,acquisition,cybersecurity,toc,intelligence,theory of constraints,tesseract,intelligence analysis,python data science,training,mbse,digital engineering,digital,afit,cyber security
"Decade of War, Volume I: Enduring Lessons from the Past Decade of Operations","['decade', 'war', 'study', 'jcoa s', 'response', 'chairman', 'joint', 'chief', 'staff s', 'callfor', 'learning', 'lesson', 'past', 'decade', 'u', 'military', 'operations 1to', 'conduct', 'study', 'thedecade', 'war', 'study', 'team', 'reviewed', '46', 'jcoa', 'study', 'dating', 'organization s', 'inceptionin', '2003', 'early', '2012', 'examining', '400', 'finding', 'observation', 'best', 'practice', 'inorder', 'identify', 'enduring', 'lesson', 'inform', 'future', 'joint', 'force', 'development 2this', 'reportcaptures', 'major', 'theme', 'first', 'phase', 'study 3the', 'study', 'finding', 'vettedthrough', 'joint', 'staff', 'j7 sponsored', 'decade', 'war', 'working', 'group', 'may', '2012', 'input', 'fromworking', 'group', 'member', 'consolidated', 'report', 'future', 'phase', 'study', 'plannedto', 'identify', 'additional', 'issue', 'captured', 'initial', 'body', 'work']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Business Innovation Research,"['small', 'business', 'innovation', 'research', 'help', 'solve', 'biggest', 'challenge']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cybersecurity Maturity Model Certification Challenges,"['http', 'www acq osd mil cmmc draft html', 'website', 'contains', 'newly', 'revealed', 'draft', 'cybersecurity', 'maturity', 'model', 'certification', 'cmmc', 'model', 'cmmc', 'model', 'set', 'cybersecurity', 'standard', 'established', 'ass', 'cybersecurity', 'posture', 'defense', 'industry', 'company']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doing business at the speed of startups: Harnessing small business to bring new tech, ideas to USAF","['small', 'business', 'innovation', 'research', 'sbir', 'open', 'topic', 'completely', 'transformed', 'way', 'department', 'defense', 'business', 'several', 'barrier', 'removed', 'mitigated', 'including', 'shorter', 'application', 'process', 'accelerated', 'contract', 'award', 'shorter', 'period', 'performance', 'designed', 'find', 'innovation', 'dod', 'know', 'needed', 'since', 'introduction', 'open', 'topic', 'air', 'force', 'research', 'laboratory', 'national', 'security', 'innovation', 'network', 'afwerx', 'late', '2018', 'august', '2019', 'received', '2900', 'submission', 'awarded', '900', 'contract', 'worth', 'combined', 'total', 'approximately', '220', 'million']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Air Force Recruiting Service Total Force Message: Maj. Gen. Jeannie Leavitt,"['message', 'major', 'general', 'jeannie', 'leavitt', 'regarding', 'afrs', 'vision', 'total', 'force', 'recruiting']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
U.S. Cyber Policy Makes Americans Vulnerable | Time,"['current', 'rule', 'make', 'government', 'overuse', 'subpoena', 'turning', 'company', 'gatekeeper', 'civilian', 'privacy']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Digital Engineering Analysis: Human Performance Analysis,"['presentation', 'cover', 'human', 'performance', 'analysis', 'hpa', 'supported', 'cross functional', 'team', 'usafsam', 'air', 'force', 'broader', 'medical', 'community', 'advance', 'human', 'performance', 'support', 'executive', 'order', 'mandate', 'federal', 'government', 'unwavering', 'obligation', 'care', 'placed', 'harm', 'way', 'defend', 'vital', 'interest', 'nation', 'explained', 'presidential', 'review', 'directive', 'five', 'prd 5', 'executive', 'office', 'president', '1998', 'school', 'aerospace', 'medicine', 'usafsam', 'system', 'system', 'study', 'optimize', 'advance', 'human', 'performance', 'directly', 'presentation', 'describes', 'digital', 'engineering', 'analysis', 'enterprise', 'ecosystem', 'overview', 'followed', 'benefit', 'next', 'hpa', 'along', 'interface', 'management', 'measurement', 'worker', 'exposure', 'described', 'interface', 'management', 'software liveware', 'interface', 'sli', 'server', 'covered', 'detail', 'well', 'smart', 'goal', 'metric', 'consideration', 'used', 'develop', 'measurement', 'automated', 'reporting', 'covered', 'finally', 'recent', 'publication', 'suite', 'report', 'using', 'agile', 'xp', 'principle', 'enabled', 'system', 'engineering', 'designer', 'meet', 'organization', 'performance', 'analysis', 'need', 'growing', 'demand', 'shared']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CCR's Multi Domain Card Game,"['card', 'game', 'developed', 'afit', 'center', 'cyberspace', 'research', 'explained', 'example', 'game', 'shown', 'beginning', 'end', 'player', 'comment', 'strategy', 'reason', 'affect', 'card', 'play', 'game', 'combine', 'element', 'offense', 'defense', 'cyber', 'aircraft', 'domain', 'understanding', 'domain', 'affect', 'presented']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fighter Bomber in Acquisition Module 2 Material Solutions Analysis,"['module', 'focus', 'important', 'cyber', 'activity', 'materiel', 'solution', 'analysis', 'phase']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
An Introduction to the Use of Modeling and Simulation Throughout the Systems Engineering Process,"['learning', 'objective', 'conclusion', 'tutorial', 'student', 'able', 'explain', 'basic', 'modeling', 'simulation', 'concept', 'model', 'simulation', 'used', 'throughout', 'system', 'life', 'cycle']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Internet Security Threat Report (ISTR) 2018 | Symantec,"['symantec', '2018', 'internet', 'security', 'threat', 'report', 'definitive', 'guide', 'statistic', 'cybercrime', 'activity', 'best', 'cyber', 'security', 'practice', 'visit', 'symantec', 'website', 'download', 'two page', 'executive', 'summary', 'free', 'copy', 'full', 'report this', 'document', 'provides', 'rich', 'analysis', 'extremely', 'large', 'sample', 'security', 'threat', 'data', 'around', 'world', 'report', 'although', 'technical', 'consumable', 'without', 'significant', 'background', 'subject', 'matter', 'report', 'also', 'includes', 'link', 'term', 'might', 'new', 'confusing', 'large', 'number', 'graphic', 'aid', 'reader', 'understanding', 'quickly', 'explains', 'report', 'insight', 'report', 'important', 'dod', 'personnel', 'build', 'awareness', 'type', 'threat', 'exist', 'cyberspace', 'know', 'need', 'defend', 'network', 'attack', 'additionally', 'comparison', 'previous', 'istr', 'report', 'assist', 'identifying', 'key', 'trend', 'threat', 'target', 'vulnerability', 'across', 'many', 'area', 'cybersecurity']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Air Force Digital Century Series: Beyond the Buzzwords,"['united', 'state', 'air', 'force', 'usaf', 'plan', 'acquire', 'next', 'generation', 'fighter', 'aircraft', 'hinge', 'three', 'buzzword', 'agile', 'development', 'open', 'architecture', 'digital', 'engineering', 'although', 'none', 'concept', 'new', 'acquisition', 'community', 'successful', 'implementation', 'large', 'program', 'would', 'move', 'beyond', 'buzzword', 'overcome', 'past', 'barrier', 'implementation', 'usaf', 'proposed', 'digital', 'century', 'series', 'need', 'strictly', 'adhere', 'rapid', 'repeatable', 'schedule', 'managing', 'digital', 'century', 'series', 'schedule', 'likely', 'cost', 'potential', 'benefit', 'worth', 'exploring']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DHS Cybersecurity Strategy | Homeland Security,"['strategy', 'provides', 'department', 'framework', 'execute', 'cybersecurity', 'responsibility', 'next', 'five', 'year', 'keep', 'pace', 'evolving', 'cyber', 'risk', 'landscape']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hacker (3/4) - National Geographic  2010 Documentary,"['hacker', 'national', 'geographic', 'look', 'hacker', 'however', 'different', 'degree', 'hacker', 'different', 'goal', 'others', 'range', 'political', 'activism', 'fun', 'lulz', 'steal', 'data', 'profit']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fighter Bomber in Acquisition Module 4 Engineering & Manufacturing Development,"['module', 'focus', 'important', 'cyber', 'concept', 'engineering', 'manufacturing', 'development', 'phase']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mandatory Cybersecurity Training for All Personnel in the USSF,"['csce', '525', 'video', 'presentation', 'requiring', 'personnel', 'cyber', 'education', 'prior', 'entering', 'active', 'duty', 'using', 'u', 'space', 'force', 'pathfinder', 'reason', 'cyber', 'intrinsic', 'part', 'mission', 'daily', 'life', 'since', 'user', 'weakest', 'link', 'network', 'make', 'sense', 'train', 'user']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MEPS Briefing,"['example', 'meps', 'briefing', 'conducted', 'tsgt', 'josh', 'wood', '339th', 'recruiting', 'squadron']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Introduction to Weapon System Cybersecurity and Resiliency  EZA-110,"['eza', '110', 'discus', 'cybersecurity', 'role', 'cybersecurity', 'policy', 'pit', 'process procedures authorizations', 'control', 'srtm', 'risk', 'assessment', 'authorization', 'tools resources', 'however', 'eza', '110', 'administered', 'aflcmc', 'focus', 'week', 'quarter', 'highly', 'encouraged', 'sign', 'remote', 'in seat', 'version', 'course', 'next', 'available', 'focus', 'week', 'register', 'going', 'acqnow', 'career', 'search', 'cl', 'event', 'search', 'catalog', 'filter', 'aflcmc', 'focus', 'week', 'search', 'eza', '110', 'powerpoint', 'reviewed', 'preparation', 'focus', 'week', 'class', 'may', 'proceed', 'learning', 'path', 'waiting', 'attend', 'eza', '110', 'class', 'note', 'professional', 'actively', 'proceeding', 'aware', 'learning', 'path', 'cognizant', 'course', 'conducted', 'certain', 'time', 'focus', 'week', 'professional', 'wait', 'certain', 'course', 'begin', 'mean', 'continue', 'along', 'path', 'course', 'wait', 'plenty', 'course', 'along', 'path', 'taken', 'time', 'without', 'prerequisite', 'professional', 'never', 'need', 'remain', 'idle', 'wait', 'certain', 'course', 'question', 'aware', 'path', 'reach', 'crow', 'ed']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Critical Thinking and Decision Making,"['critical', 'thinking', 'decision making', 'lesson', 'fundamental', 'acquisition', 'management', 'fam', '104', 'course']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Defense: An International View,"['seamlessly', 'international', 'nature', 'internet', 'effective', 'cybersecurity', 'demand', 'close', 'cooperation', 'ally', 'friend', 'overseas']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Insider Threats and Cyber Terrain,"['hello', 'name', 'special', 'agent', 'alexander', 'kim', 'presentation', 'insider', 'threat', 'relation', 'cyber', 'terrain', 'presentation', 'contain', 'information', 'defense', 'research', 'development', 'budget', 'insider', 'threat', 'example', 'insider', 'threat', 'cyber', 'terrain', 'changed', 'part', 'combating', 'insider', 'threat', 'information', 'within', 'presentation', 'current', 'since', 'september', '2018']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Program Manager's Toolkit,"['graphic', 'summary', 'acquisition', 'policy', 'managerial', 'skill', 'frequently', 'required', 'dod', 'program', 'manager']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Most Dangerous Town On the Internet - Hackerville (Ramnicu Valcea),"['ee', 'http', 'mostdangeroustown comwatch', 'cybercrime', 'documentary', 'profiling', 'romanian', 'town', 'nicknamed', '22hackerville', '22', '22most', 'dangerous', 'town', 'internet', '22', 'convicted', 'blackhat', 'hacker', 'like', 'guccifer', 'real', 'name', 'talk', 'worm', 'virus', 'social', 'engineering', 'identity', 'theft', 'even', 'hacking', 'hillary', 'clinton', 'email']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fighter Bomber in Acquisition Module 6 Operations & Support,"['purpose', 'phase', 'sustain', 'system', 'retired', 'disposed']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hacker (1/4) - National Geographic  2010 Documentary,"['hacker', 'national', 'geographic', 'look', 'hacker', 'however', 'different', 'degree', 'hacker', 'different', 'goal', 'others', 'range', 'political', 'activism', 'fun', 'lulz', 'steal', 'data', 'profit']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFIT SYS 282 - Management Of The Systems Engineering Process,"['read', 'full', 'description', 'additional', 'instruction', 'register', 'new', 'afit', 'student', 'information', 'system', 'si', 'need', 'acquisition', 'professional', 'understand', 'interdisciplinary', 'cross', 'functional', 'nature', 'system', 'engineering', 'se', 'benefit', 'following', 'sound', 'se', 'process', 'course', 'provides', 'knowledge', 'understanding', 'necessary', 'meet', 'need', 'student', 'engineer', 'non', 'engineering', 'professional', 'introduced', 'se', 'concept', 'se', 'process', 'activity', 'tool', 'implementing', 'managing', 'se', 'process', 'various', 'phase', 'system', 'life', 'cycle', 'interaction', 'se', 'disciplines functions', 'discussed', 'exercise', 'give', 'student', 'opportunity', 'apply', 'se', 'tool', 'acquisition', 'sustainment', 'life', 'cycle', 'afit', 'transitioned', 'new', 'student', 'information', 'system', 'si', 'transition', 'resulted', 'new', 'process', 'registering', 'booking', 'afit', 'course', 'clicking', 'link', 'direct', 'course', 'description', 'page', 'scroll', 'right', 'read', 'attachment', 'apply', 'course', 'book', 'course', 'proceeding', 'page', 'apply', 'button', 'click', 'button', 'redirected', 'new', 'afit', 'si', 'go', 'step', 'enroll', 'required', 'course', 'question', 'arise', 'specific', 'crow', 'aware', 'learning', 'path', 'please', 'direct', 'jason', 'donovan', 'aflcmc crows edu', 'us af mil', 'jason donovan 4', 'us af mil', 'issue', 'question', 'related', 'afit', 'si', 'must', 'direct', 'inquiry', 'afit', 'help', 'desk', 'customer', 'service', 'since', 'afit', 'owned', 'maintained', 'product']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LIVE Cyber Threat Map | FireEye ,"['see', 'recent', 'global', 'cyber', 'attack', 'fireeye', 'cyber', 'threat', 'map', 'sign', 'alerted', 'attack', 'discovered']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microservices SENG 593 Lesson,"['overview', 'microservices', 'dod', 'application']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Introduction of Cyber Resiliency For Acquisition Round 3,"['training', 'resiliency', 'effort', 'crow', 'acquisition', 'lifecycle', 'third', 'module', 'explains', 'basic', 'cyber', 'concept', 'functional', 'area', 'need', 'keep', 'cyber', 'mind']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Engineering: An Overview,"['video', 'provides', 'overview', 'digital', 'engineering', 'include', 'understand', 'basic', 'concept', 'digital', 'engineering', 'digital', 'thread', 'model based', 'system', 'engineering', 'understand', 'dod', 'pivoting', 'towards', 'digital', 'engineering', 'recognize', 'associated', 'tool', 'language', 'describe', 'digital', 'model', 'assist', 'practitioner', 'analysis', 'effort', 'understand', 'challenge', 'associated', 'employing', 'digital', 'engineering', 'understand', 'policy', 'governance', 'promote', 'digital', 'engineering']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AFSC 17X CYBERSPACE OPERATIONS OFFICER Career Field Education and Training  Plan,"['career', 'field', 'education', 'training', 'plan', 'cfetp', 'comprehensive', 'education', 'andtraining', 'document', 'identifies', 'life cycle', 'education', 'training', 'training', 'support', 'resource', 'andinitial', 'qualification', 'requirement', 'cyberspace', 'operation', 'officer', 'career', 'field', 'initialand', 'follow on', 'requirement', 'developed', 'educate', 'train', 'cyberspace', 'operator', 'provide', 'career', 'path', 'success', 'document', 'aspect', 'career', 'field', 'training']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
What You Should Know About ATM Card Skimmers - The LastPass Blog,"['take', 'four', 'simple', 'step', 'protect', 'bank', 'information', 'atm', 'card', 'skimmer', 'know', 'look', 'stay', 'safe', 'atm', 'gas', 'pump', 'beyond']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOD pushes toward CAC replacement -- FCW,"['defense', 'official', 'hope', 'common', 'access', 'card', 'day', 'numbered', 'continue', 'test', 'new', 'identity', 'management', 'solution']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Command’s first major weapons system needs the cloud,"['air', 'force', 'plan', 'spend', 'much', '95', 'million', 'cloud', 'service', 'several', 'company', 'work', 'one', 'cyber', 'command', 'first', 'major', 'weapon', 'system']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fighter Bomber in Acquisition Module 5 Production & Deployment,"['overall', 'purpose', 'p', 'phase', 'build', 'test', 'deliver', 'field', 'system', 'satisfies', 'requirement']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aim High...Find, Fix, Win! | HackerOne","['took', 'minute', 'hacker', 'report', 'first', 'security', 'vulnerability', 'you s', 'air', 'force', 'twenty five', 'day', 'later', 'hack', 'air', 'force', 'bug', 'bounty', 'challenge', 'concluded', '207', 'valid', 'vulnerability', 'discovered', 'hacker', 'awarded', '130 000', 'making', 'air', 'force', 'secure']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pentagon vows to fix software acq nightmare,"['new', 'vice', 'chairman', 'joint', 'chief', 'staff', 'said', 'defense', 'department', 'need', 'fix', 'requirement', 'process', 'acquisition', 'procedure', 'going', 'make', 'real', 'progress', 'toward', 'buying', 'building', 'software', 'quickly', 'silicon', 'valley']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Limits of Coercion in Cyber Space,"['character', 'cyber', 'competition', 'appears', 'shifting', 'political', 'warfare', 'waged', 'shadow', 'active', 'military', 'disruption', 'campaign', 'yet', 'recently', 'disclosed', 'russia', 'case', 'raise', 'question', 'logic', 'cyber', 'strategy', 'escalatory', 'action', 'targeting', 'adversary', 'critical', 'infrastructure', 'actually', 'achieve', 'desired', 'strategic', 'effect']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFIT / The Civil Engineer School,"['looking', 'continue', 'education', 'civil', 'engineer', 'look', 'civil', 'engineer', 'school', 'afit', 'campus', 'wright patterson', 'air', 'force', 'base', 'civil', 'engineer', 'school', 'class', 'architecture planning', 'housing', 'environmental', 'management', 'engineering', 'management', 'technical', 'engineering', 'also', 'consulting', 'need', 'advice', 'specific', 'project', 'several', 'way', 'take', 'class', 'resident', 'class', 'taught', 'state of the art', 'classroom', 'web', 'on demand', 'class', 'pre recorded', 'taken', 'anywhere', 'computer', 'internet', 'access', 'satellite', 'class', 'taught', 'live', 'broadcast', 'studio', 'taken', 'base', 'education', 'center', 'attend', 'class', 'civil', 'engineering', 'school', 'class', 'free', 'active', 'duty', 'dod', 'military', 'civilian', 'self funded', 'national', 'guard', 'reserve', 'contractor']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
National Initiative for Cybersecurity Careers and Studies,"['national', 'initiative', 'cybersecurity', 'career', 'study', 'niccs', 'nation s', 'one stop', 'shop', 'cybersecurity', 'career', 'study', 'connects', 'public', 'information', 'cybersecurity', 'awareness', 'degree', 'program', 'training', 'career', 'talent', 'management', 'education', 'training', 'catalog', 'connects', 'public', '3 000', 'cybersecurity', 'course', 'offered', 'organization']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Digital Air Force,"['one', 'page', 'description', 'af', 'digital', 'goal']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AFIT PPR 150 (Introduction To Trusted Systems And Networks) Sign-up,"['read', 'full', 'description', 'additional', 'instruction', 'register', 'new', 'afit', 'student', 'information', 'system', 'si', 'purpose', 'online', 'course', 'student', 'understand', 'dod', 'effort', 'field', 'resilient', 'system', 'trusted', 'system', 'network', 'tsn', 'methodology', 'tsn', 'term', 'policy', 'requirement', 'discussed', 'context', 'successful', 'fielding', 'resilient', 'system', 'since', 'continued', 'awareness', 'information', 'communication', 'technology', 'ict', 'critical', 'instill', 'maintain', 'dod', 'workforce', 'supply', 'chain', 'threat', 'vulnerability', 'affecting', 'mission', 'critical', 'hardware', 'h w', 'software', 's w', 'discussed', 'afit', 'transitioned', 'new', 'student', 'information', 'system', 'si', 'transition', 'resulted', 'new', 'process', 'registering', 'booking', 'afit', 'course', 'clicking', 'link', 'direct', 'course', 'description', 'page', 'scroll', 'right', 'read', 'attachment', 'apply', 'course', 'book', 'course', 'proceeding', 'page', 'apply', 'button', 'click', 'button', 'redirected', 'new', 'afit', 'si', 'go', 'step', 'enroll', 'required', 'course', 'question', 'arise', 'specific', 'crow', 'aware', 'learning', 'path', 'please', 'direct', 'jason', 'donovan', 'aflcmc crows edu', 'us af mil', 'jason donovan 4', 'us af mil', 'issue', 'question', 'related', 'afit', 'si', 'must', 'direct', 'inquiry', 'afit', 'help', 'desk', 'customer', 'service', 'since', 'afit', 'owned', 'maintained', 'product']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Operating in Today's Multi Domain Environment,"['concept', 'multi', 'domain', 'operation', 'attack', 'foreign', 'target', 'realistically', 'portrayed', 'communication', 'control', 'multiple', 'dod', 'service', 'shown', 'vital', 'operation', 'credit', 'produced', 'motion', 'imagery', 'production', 'old h afpaa', 'hill', 'afb', 'tom', 'cowan', 'burke', 'baker', 'afscp', 'alethea', 'smock', '11', 'april', '16']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitigation of Cyber Warfare in Space Through Reed Solomon Codes,"['discus', 'short', 'history', 'well', 'current', 'status', 'conflict', 'cyber', 'space', 'domain', 'give', 'reason', 'increase', 'threat', 'importance', 'satellite', 'impact', 'satellite', 'failure', 'risk', 'face', 'satellite', 'risk', 'mitigation', 'reed', 'solomon', 'code']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Definitions,"['common', 'definition', 'cyber', 'term', 'understood', 'mean', 'different', 'thing', 'different', 'nations organisations', 'despite', 'prevalence', 'mainstream', 'medium', 'national', 'international', 'organisational', 'statement', 'given', 'ambiguity', 'regardless', 'caveat', 'glossary', 'aim', 'provide', 'picture', 'nations states', 'different', 'institution', 'interpret', 'approach', 'cyber', 'glossary', 'based', 'definition', 'publicly', 'available', 'english', 'please', 'note', 'majority', 'definition', 'provided', 'tallinn', 'manual', 'strategic', 'policy', 'document', 'national', 'strategy', 'therefore', 'information', 'contained', 'glossary', 'represent', 'nation s', 'position', 'legal', 'context']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFWERX Learning Path_how-to,"['how to', 'guide', 'using', 'sbir', 'learning', 'path']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Force Annex 3-12 Cyberspace Operations,"['cyberspace', 'superiority', 'may', 'localized', 'time', 'space', 'may', 'broad', 'andenduring', 'concept', 'cyberspace', 'superiority', 'hinge', 'idea', 'preventingprohibitive', 'interference', 'joint', 'force', 'opposing', 'force', 'would', 'prevent', 'jointforces', 'creating', 'desired', 'effect', 'supremacy', 'prevents', 'effective', 'interference', 'mean', 'interference', 'exists', 'attempted', 'interferencecan', 'countered', 'negligible', 'little', 'effect', 'operations while', 'supremacy', 'desirable', 'may', 'operationally', 'feasible', 'cyberspacesuperiority', 'even', 'local', 'mission specific', 'cyberspace', 'superiority', 'may', 'provide', 'sufficientfreedom', 'action', 'create', 'desired', 'effect', 'therefore', 'commander', 'determinethe', 'minimum', 'level', 'control', 'required', 'accomplish', 'mission', 'assign', 'theappropriate', 'level', 'effort']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACQ 160 Program Protection Planning Awareness,"['course', 'emphasizes', 'principle', 'policy', 'system', 'security', 'engineering', 'program', 'protection', 'planning', 'requires', 'acquisition', 'integrated', 'product', 'team', 'prevent', 'detect', 'respond', 'program', 'protection', 'challenge', 'course', 'provides', 'training', 'threat', 'vulnerability', 'risk', 'cost benefit', 'risk', 'trade offs', 'required', 'mitigation', 'dod', 'system', 'also', 'address', 'supply', 'chain', 'management', 'need', 'acquisition', 'program', 'protection', 'document', 'program', 'protection', 'plan', 'cybersecurity', 'strategy', 'security', 'plan']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia�s Elite Fancy Bear Hackers Have a Clever New Trick | WIRED,"['first', 'time', 'so called', 'uefi', 'rootkit', 'spotted', 'wild', 'appears', 'come', 'russia']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CROWS Orientation,"['crow', 'orientation', 'held', 'remotely', 'couple', 'time', 'quarter', 'must', 'email', 'aflcmc crows edu', 'us af mil', 'open', 'email', 'client', 'put', 'name', 'course', 'want', 'registered', 'crow', 'orientation', 'subject', 'email', 'body', 'request', 'course', 'name', 'enter', 'name', 'rank grade', 'organization', 'joining', 'contact', 'information', 'contacted', 'information', 'course', 'registration', 'within', 'next', '72', 'hour', 'contacted', 'within', '72', 'hour', 'contact', 'james white 94 ctr', 'us af mil', 'jason donovan 4', 'us af mil', 'follow up', 'information', 'individual', 'moving', 'along', 'aware', 'learning', 'path', 'continue', 'course', 'path', 'waiting', 'orientation']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Classroom Presentation part 1,"['part', '1', 'classroom', 'presentation', 'tsgt', 'joe', 'glorso', '339th', 'recruiting', 'squadron']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Life Cycle Logistics Cliff Notes,"['everything', 'ever', 'wanted', 'know', 'life', 'cycle', 'logistics', 'general', 'overview']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Performance Analysis in Digital Engineering,"['digital', 'engineering', 'de', 'performance', 'analysis', 'digital', 'engineering', 'tool', 'performance', 'analysis', 'performance', 'analysis', 'industry', 'dod']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
The future of security: A combination of cyber and physical defense | CSO Online,"['item', 'gaining', 'web', 'connectivity', 'part', 'internet', 'thing', 'movement', 'need', 'protect', 'physical', 'device', 'hacker', 'increase']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Deterring Strategic Cyberattack - IEEE Journals & Magazine,"['protecting', 'critical', 'infrastructure', 'cyberattacks', 'nation', 'matter', 'considerable', 'concern', 'deterrence', 'play', 'role', 'protection', 'lesson', 'nuclear', 'deterrence the', 'elaborated', 'successful', 'version', 'deterrence be', 'adapted', 'cyber', 'case', 'currently', 'little', 'overlap', 'exists', 'two', 'although', 'might', 'change', 'aftermath', 'extensive', 'destructive', 'cyberattack', 'effective', 'way', 'protect', 'cyber dependent', 'infrastructure', 'comprehensive', 'defense', 'deterrence', 'denial', 'impractical', 'nuclear', 'regime', 'however', 'approach', 'present', 'challenge', 'existing', 'legal', 'norm', 'particularly', 'related', 'controlling', 'collateral', 'damage', 'might', 'provide', 'deterrence', 'another', 'option', 'might', 'new', 'international', 'agreement', 'would', 'involve', 'several', 'difficult', 'issue']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan Air Self Defense Force - Kaizen Team Meets TOC,"['colonel', 'akira', 'igarashi', 'japan', 'air', 'self', 'defense', 'force', 'present', 'building', 'success', '2019', 'conference', 'year', 'many', 'kaizen', 'improvement', 'activity', 'carried', 'japan', 'air', 'self defense', 'force', 'jasdf', 'since', 'f 15', 'jasdf', 'main', 'fighter', 'introduced', '30', 'year', 'ago', 'many', 'kaizen', 'activity', 'involved', 'maintenance', 'repair', 'recent', 'change', 'environment', 'limited', 'budget', 'made', 'difficult', 'keep', 'enough', 'fighter', 'operational', 'led', 'even', 'kaizens', 'jasdf', 'kaizen', 'team', 'came', 'across', 'toc', 'initially', 'quite', 'get', 'however', 'team', 'began', 'understand', 'apply', 'toc', 'saw', 'dramatic', 'reduction', 'regular', 'inspection', 'period', 'within', 'surprisingly', 'short', 'time', 'result', 'colonel', 'igarashi', 'started', 'propel', 'toc', 'name', 'project', '10b', 'session', 'colonel', 'igarashi', 'introduce', 'dramatic', 'project', '10b', 'application', 'discus', 'worked', 'achieved', 'remarkable', 'result', 'going', 'forward', 'without', 'increasing', 'budget', 'human', 'resource']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
